"","data.list.id","title","date.created","rw.url","country"
"167","564576","Financial Manager of Mission in Syria (based in Turkey)",2013-03-22,"http://reliefweb.int/node/564576","Syria"
"168","562578","Programme Manager Syria",2013-03-14,"http://reliefweb.int/node/562578","Syria"
"169","562691","Deputy Director of UNRWA Affairs (Organizational Support)",2013-03-14,"http://reliefweb.int/node/562691","Syria"
"170","561920","Logistics Manager Syria",2013-03-11,"http://reliefweb.int/node/561920","Syria"
"171","560501","Emergency Response Manager- Syrian Refugee Programme",2013-03-05,"http://reliefweb.int/node/560501","Syria"
"172","560248","Special Assistant to the Director of UNRWA Affairs",2013-03-04,"http://reliefweb.int/node/560248","Syria"
"173","559919","Project coordinator Syria (M/F)",2013-03-01,"http://reliefweb.int/node/559919","Syria"
"174","558978","Humanitarian Affairs Officer (P-4)",2013-02-26,"http://reliefweb.int/node/558978","Syria"
"175","558276","Chief of Party – South Sudan",2013-02-21,"http://reliefweb.int/node/558276","Syria"
"176","557913","Country Health Director",2013-02-20,"http://reliefweb.int/node/557913","Syria"
"177","557805","WASH Project Manager (Generic - all Field programmes)",2013-02-20,"http://reliefweb.int/node/557805","Syria"
"178","557777","Country Director",2013-02-20,"http://reliefweb.int/node/557777","Syria"
"179","557689","Deputy Representative Syria",2013-02-19,"http://reliefweb.int/node/557689","Syria"
"180","555756","Humanitarian Response Officer",2013-02-11,"http://reliefweb.int/node/555756","Syria"
"181","555745","Humanitarian Response Supply Chain Officer",2013-02-11,"http://reliefweb.int/node/555745","Syria"
"182","554841","Syria Response- vacancies",2013-02-06,"http://reliefweb.int/node/554841","Syria"
"183","554759","Relief Program Coordinator",2013-02-06,"http://reliefweb.int/node/554759","Syria"
"184","553216","Logistician in Syria",2013-01-30,"http://reliefweb.int/node/553216","Syria"
"185","548935","Assistant for humanitarian aid program - Syria",2013-01-10,"http://reliefweb.int/node/548935","Syria"
"186","547929","GENDER ADVISOR",2013-01-04,"http://reliefweb.int/node/547929","Syria"
"187","546272","Donor Reporting Officer",2012-12-23,"http://reliefweb.int/node/546272","Syria"
"188","543717","Health Manager/Team Leader",2012-12-12,"http://reliefweb.int/node/543717","Syria"
"189","543080","Relief Program Coordinator",2012-12-10,"http://reliefweb.int/node/543080","Syria"
"190","542308","Area Manager - Call for Expressions of Interest",2012-12-06,"http://reliefweb.int/node/542308","Syria"
"191","542307","Logistics Officer - Call for Expressions of Interest",2012-12-06,"http://reliefweb.int/node/542307","Syria"
"192","540335","Programme Manager Syria",2012-11-28,"http://reliefweb.int/node/540335","Syria"
"193","534608","Humanitarian Affairs Officer/Deputy Head of Office (P-5)",2012-11-01,"http://reliefweb.int/node/534608","Syria"
"194","532824","Public Information Officer (P-4), Office of the Joint Special Representative for Syria (Temporary Vacancy for 6 months with possible extension)",2012-10-23,"http://reliefweb.int/node/532824","Syria"
"195","532616","P-3 Political Affairs Officer in the Office of the Joint Special Representative for Syria (Temporary Vacancy for 6 months with possible extension)",2012-10-22,"http://reliefweb.int/node/532616","Syria"
"196","532614","P-4 Political Affairs Officer in the Office of the Joint Special Representative for Syria (Temporary Vacancy for 6 months with possible extension)",2012-10-22,"http://reliefweb.int/node/532614","Syria"
"197","532228","Information Management Officer, P3",2012-10-19,"http://reliefweb.int/node/532228","Syria"
"198","531219","Medical Director - Syria",2012-10-16,"http://reliefweb.int/node/531219","Syria"
"199","530468","Project Manager - Education and Community Services - Syria",2012-10-12,"http://reliefweb.int/node/530468","Syria"
"200","526750","Head, Field Procurement and Logistics Office",2012-09-25,"http://reliefweb.int/node/526750","Syria"
"201","526749","Deputy Director of UNRWA Affairs",2012-09-25,"http://reliefweb.int/node/526749","Syria"
"202","525818","Finance Administrative Director  12-435",2012-09-20,"http://reliefweb.int/node/525818","Syria"
"203","525150","External Communications/Resource Mobilization Specialist (Emergency) P4:",2012-09-18,"http://reliefweb.int/node/525150","Syria"
"204","524687","TEAM LEADER (EMERGENCY COORDINATOR) FOR SYRIAN REFUGEE SUPPORT IN JORDAN",2012-09-14,"http://reliefweb.int/node/524687","Syria"
"205","524661","Medical Director - 12-434",2012-09-14,"http://reliefweb.int/node/524661","Syria"
"206","524639","Emergency Program Manager - 12-447",2012-09-14,"http://reliefweb.int/node/524639","Syria"
"207","524633","Emergency Medical Officer 12-323",2012-09-14,"http://reliefweb.int/node/524633","Syria"
"208","523088","Team Leader  12-446",2012-09-07,"http://reliefweb.int/node/523088","Syria"
"209","523084","Emergency Program Manager  12-447",2012-09-07,"http://reliefweb.int/node/523084","Syria"
"210","523079","Medical Director  12-434",2012-09-07,"http://reliefweb.int/node/523079","Syria"
"211","522274","12-447: Emergency Program Manager",2012-09-04,"http://reliefweb.int/node/522274","Syria"
"212","520057","Medical Director  12-434",2012-08-24,"http://reliefweb.int/node/520057","Syria"
"213","516283","Experts Roster – Safety and Security",2012-08-08,"http://reliefweb.int/node/516283","Syria"
"214","513288","Security Specialist L4 (Temporary Appointment – 364 Days)",2012-07-25,"http://reliefweb.int/node/513288","Syria"
"215","503584","Team Leader",2012-06-13,"http://reliefweb.int/node/503584","Syria"
"216","503459","Security Officer P3",2012-06-13,"http://reliefweb.int/node/503459","Syria"
"217","494955","Candidates for Child Development Expert Committee",2012-05-07,"http://reliefweb.int/node/494955","Syria"
"218","492278","Deputy Director of UNRWA Affairs (re-advertised) - Candidates having previously applied need not re-apply.",2012-04-25,"http://reliefweb.int/node/492278","Syria"
"219","489878","Refugee Status Determination Officer (Exclusion), P3",2012-04-13,"http://reliefweb.int/node/489878","Syria"
"220","481553","Programme Manager (Protection profile) - Re-announcement",2012-03-08,"http://reliefweb.int/node/481553","Syria"
