"data.list.id","title","date.created","rw.url"
"631610","Regional Response to the Syria Humanitarian Crisis, 7 - 20 January 2014",2014-01-23,"http://reliefweb.int/node/631610"
"631452","Top humanitarian leaders pen open letter to Geneva II peace talk participants calling for urgent action to protect Syrian children",2014-01-22,"http://reliefweb.int/node/631452"
"631416","Geneva II – A Chance to Contain the Syrian Civil War",2014-01-22,"http://reliefweb.int/node/631416"
"631398","Will the Syrian conflict ever end?",2014-01-22,"http://reliefweb.int/node/631398"
"631397","UN agency calls for urgent aid delivery to besieged Palestinian refugee camp",2014-01-22,"http://reliefweb.int/node/631397"
"631351","Syria peace conference: joint statement on need for humanitarian access",2014-01-22,"http://reliefweb.int/node/631351"
"631348","Les organisations humanitaires exigent un accès libre et direct aux victimes de la crise syrienne",2014-01-22,"http://reliefweb.int/node/631348"
"631342","The Syrian Constellation before the Geneva 2 Peace Talks",2014-01-22,"http://reliefweb.int/node/631342"
"631292","Fiery exchanges over Assad fate at Syria peace talks",2014-01-22,"http://reliefweb.int/node/631292"
"631265","Remarks by United Nations Secretary-General Ban Ki-moon at the high-level segment of the Geneva conference on Syria",2014-01-22,"http://reliefweb.int/node/631265"
"631253","Stop bombing civilians: a call to Syria’s conflict parties ahead of peace talks",2014-01-22,"http://reliefweb.int/node/631253"
"631187","Syria warring sides join world powers for peace talks",2014-01-22,"http://reliefweb.int/node/631187"
"631151","Syrian Women's NGOs and Geneva II -  Summary Report [EN/AR]",2014-01-21,"http://reliefweb.int/node/631151"
"631132","Air strike on Syria's Aleppo kills 10: NGO",2014-01-21,"http://reliefweb.int/node/631132"
"631114","Council conclusions on Syria",2014-01-21,"http://reliefweb.int/node/631114"
"631101","The children the world didn’t protect",2014-01-21,"http://reliefweb.int/node/631101"
"631099","Syria peace conference must act on allegations of 'industrial-scale' torture and killings in custody",2014-01-21,"http://reliefweb.int/node/631099"
"631086","Key UN expert group urges human rights-based peace deal at Geneva II Conference",2014-01-21,"http://reliefweb.int/node/631086"
"631070","Causes and types of injuries encountered by Handicap International while working with internally displaced persons in Syria: A focus on the impact of explosive weapons",2014-01-21,"http://reliefweb.int/node/631070"
"631029","IOM Scales Up Its Winterization Campaign for Affected Population in Syria",2014-01-21,"http://reliefweb.int/node/631029"
"630924","Statement by Bureau of Committee on Exercise of Inalienable Rights of Palestinian People on Humanitarian Situation at Yarmouk Camp",2014-01-21,"http://reliefweb.int/node/630924"
"630914","OPCW Receives Tenders from 14 Private Firms to Destroy Syrian Commodity Chemicals and Effluents",2014-01-21,"http://reliefweb.int/node/630914"
"630880","Making Damascus child-friendly",2014-01-21,"http://reliefweb.int/node/630880"
"630869","ECHO Factsheet – 16 January 2014 - Syria Crisis",2014-01-21,"http://reliefweb.int/node/630869"
"630679","Geneva II Peace talks: Continued killing of children in Syria conflict is a failure of the international community, says Save the Children",2014-01-21,"http://reliefweb.int/node/630679"
"630853","Ban withdraws Iran’s invitation to Syria talks, saying its statements contradict assurances",2014-01-20,"http://reliefweb.int/node/630853"
"630837","Car bombs on Syria-Turkey border post kill 16: monitor",2014-01-20,"http://reliefweb.int/node/630837"
"630828","Syrian Refugees in the Region (as at 20 January 2014)",2014-01-20,"http://reliefweb.int/node/630828"
"630762","Stand with me: Children’s Rights, Wronged",2014-01-20,"http://reliefweb.int/node/630762"
"630723","Failure of Geneva II talks would put millions of lives at risk, warns aid coalition",2014-01-20,"http://reliefweb.int/node/630723"
"630678","Syria crisis in numbers",2014-01-20,"http://reliefweb.int/node/630678"
"630644","National campaign to support Syrian people raises USD 6.7 mln-donations in first day",2014-01-20,"http://reliefweb.int/node/630644"
"630599","Polio this week - as of 15 January 2014",2014-01-20,"http://reliefweb.int/node/630599"
