"","data.list.id","title","date.created","url","country"
"69","617353","Area Coordinator Iraq",2013-11-20,"http://reliefweb.int/node/617353","Iraq"
"70","617267","Logistics and Procurement Officer - Iraq",2013-11-20,"http://reliefweb.int/node/617267","Iraq"
"71","615852","International Consultant for Teachers/PTAs Training",2013-11-14,"http://reliefweb.int/node/615852","Iraq"
"72","615855","Project Manager - CLT",2013-11-14,"http://reliefweb.int/node/615855","Iraq"
"73","615703","Project Manager - Erbil (Local applicants only)",2013-11-14,"http://reliefweb.int/node/615703","Iraq"
"74","615682","Programme Director Iraq",2013-11-14,"http://reliefweb.int/node/615682","Iraq"
"75","615344","Child Labour Assessment Report Writer- Individual consultant",2013-11-13,"http://reliefweb.int/node/615344","Iraq"
"76","614203","WASH Project Coordinator Kandala - Iraq",2013-11-08,"http://reliefweb.int/node/614203","Iraq"
"77","614270","Program Officer - Health 13-451",2013-11-08,"http://reliefweb.int/node/614270","Iraq"
"78","614267","Program Reporting Officer- Iraq  13-452",2013-11-08,"http://reliefweb.int/node/614267","Iraq"
"79","613978","WASH Program Manager- Iraq",2013-11-07,"http://reliefweb.int/node/613978","Iraq"
"80","613917","Senior Women’s Protection & Empowerment (WPE) Manager",2013-11-07,"http://reliefweb.int/node/613917","Iraq"
"81","613916","Finance Controller",2013-11-07,"http://reliefweb.int/node/613916","Iraq"
"82","613793","Finance Manager, Iraq",2013-11-06,"http://reliefweb.int/node/613793","Iraq"
"83","613068","Finance Assistant (LOCAL Hire)",2013-11-04,"http://reliefweb.int/node/613068","Iraq"
"84","612608","Education Project Manager",2013-10-31,"http://reliefweb.int/node/612608","Iraq"
"85","612614","Gender Based Violence (GBV) Project Manager",2013-10-31,"http://reliefweb.int/node/612614","Iraq"
"86","612603","Protection and Advocacy Adviser / Project Manager",2013-10-31,"http://reliefweb.int/node/612603","Iraq"
"87","612620","Shelter Project Manager",2013-10-31,"http://reliefweb.int/node/612620","Iraq"
"88","612385","Protection Programme Manager - Iraq",2013-10-30,"http://reliefweb.int/node/612385","Iraq"
"89","611935","INFORMATION MANAGEMENT CONSULTANT",2013-10-28,"http://reliefweb.int/node/611935","Iraq"
"90","611947","WASH Programme Manager - Iraq",2013-10-28,"http://reliefweb.int/node/611947","Iraq"
"91","611217","Infection Prevention and Control Manager",2013-10-24,"http://reliefweb.int/node/611217","Iraq"
"92","610740","Program Reporting Officer- Iraq 13-452",2013-10-22,"http://reliefweb.int/node/610740","Iraq"
"93","610739","Program Officer - Health 13-451",2013-10-22,"http://reliefweb.int/node/610739","Iraq"
"94","610657","Technical Advisor,Training Expert",2013-10-22,"http://reliefweb.int/node/610657","Iraq"
"95","610156","NGO Advisor/Basra (LOCAL)",2013-10-21,"http://reliefweb.int/node/610156","Iraq"
"96","610154","Program Assistant (LOCAL)",2013-10-21,"http://reliefweb.int/node/610154","Iraq"
"97","610152","Legal Education Development Advisor (LOCAL)",2013-10-21,"http://reliefweb.int/node/610152","Iraq"
"98","610151","Field Assistant",2013-10-21,"http://reliefweb.int/node/610151","Iraq"
"99","610382","Livelihoods Coordinator - Dohuk, Kurdistan Region of Iraq",2013-10-21,"http://reliefweb.int/node/610382","Iraq"
"100","609913","Cash and Voucher Expert",2013-10-18,"http://reliefweb.int/node/609913","Iraq"
"101","609524","GBV Specialist",2013-10-17,"http://reliefweb.int/node/609524","Iraq"
"102","609330","Executive Director - Independent Media Centre",2013-10-17,"http://reliefweb.int/node/609330","Iraq"
"103","609682","Shelter Manager - Kurdistan Region of Iraq",2013-10-17,"http://reliefweb.int/node/609682","Iraq"
"104","608877","The Colombo Plan Secretariat - ACCE PROGRAMME OFFICER",2013-10-14,"http://reliefweb.int/node/608877","Iraq"
"105","608882","The Colombo Plan Secretariat - ACCE TRAINERS",2013-10-14,"http://reliefweb.int/node/608882","Iraq"
"106","608726","Legal Advisor",2013-10-14,"http://reliefweb.int/node/608726","Iraq"
"107","608728","NGO Coordinator",2013-10-14,"http://reliefweb.int/node/608728","Iraq"
"108","608570","Internal Auditor Compliance Controller Intern Iraq",2013-10-11,"http://reliefweb.int/node/608570","Iraq"
"109","608168","NGO Legal Field Coordinator",2013-10-10,"http://reliefweb.int/node/608168","Iraq"
"110","608167","NGO Field Coordinator",2013-10-10,"http://reliefweb.int/node/608167","Iraq"
"111","607683","Volunteer- Program Reporting- Iraq  13-068",2013-10-08,"http://reliefweb.int/node/607683","Iraq"
"112","607532","WASH Manager",2013-10-08,"http://reliefweb.int/node/607532","Iraq"
"113","607531","Shelter and NFI Distribution Manager",2013-10-08,"http://reliefweb.int/node/607531","Iraq"
"114","607530","Response Team Leader",2013-10-08,"http://reliefweb.int/node/607530","Iraq"
"115","607528","Proposal and Info/Comms Coordinator",2013-10-08,"http://reliefweb.int/node/607528","Iraq"
"116","607526","Logistics Coordinator-Erbil",2013-10-08,"http://reliefweb.int/node/607526","Iraq"
"117","607525","Logistics Coordinator-Dohuk",2013-10-08,"http://reliefweb.int/node/607525","Iraq"
"118","607523","Human Resources Manager",2013-10-08,"http://reliefweb.int/node/607523","Iraq"
"119","607522","Field Manager",2013-10-08,"http://reliefweb.int/node/607522","Iraq"
"120","607519","Field Manager",2013-10-08,"http://reliefweb.int/node/607519","Iraq"
"121","607518","Education in Emergencies Coordinator",2013-10-08,"http://reliefweb.int/node/607518","Iraq"
"122","607515","Deputy Response Team Leader - Programmes",2013-10-08,"http://reliefweb.int/node/607515","Iraq"
"123","607512","Child Protection Manager",2013-10-08,"http://reliefweb.int/node/607512","Iraq"
"124","607510","Child Protection Manager",2013-10-08,"http://reliefweb.int/node/607510","Iraq"
"125","606762","Environmental Health Specialist, Primary Health Care Project Iraq, Baghdad",2013-10-04,"http://reliefweb.int/node/606762","Iraq"
"126","606729","Community Health Partnerships Team Leader (TL), Primary Health Care Project Iraq, Baghdad",2013-10-03,"http://reliefweb.int/node/606729","Iraq"
"127","606567","AME Officer Iraq",2013-10-03,"http://reliefweb.int/node/606567","Iraq"
"128","606400","Iraqi Center of Excellence for Government Short-Term Advisor, Iraq Administrative Reform Project",2013-10-02,"http://reliefweb.int/node/606400","Iraq"
"129","605759","Property Manager, Iraq Administrative Reform Project, Iraq",2013-09-30,"http://reliefweb.int/node/605759","Iraq"
"130","603337","Field Assistant",2013-09-26,"http://reliefweb.int/node/603337","Iraq"
"131","604843","WASH Officer (P-3)",2013-09-26,"http://reliefweb.int/node/604843","Iraq"
"132","604833","Health Coordinator (P-3)",2013-09-26,"http://reliefweb.int/node/604833","Iraq"
"133","604884","Mine Action Consultant – Risk Education on needs analysis, prioritization, planning, budgeting and fundraising.",2013-09-26,"http://reliefweb.int/node/604884","Iraq"
"134","604888","Handicap International is looking for : Physiotherapytrainer",2013-09-26,"http://reliefweb.int/node/604888","Iraq"
"135","604892","Handicap International is looking for : Prosthetics-Orthotics trainer",2013-09-26,"http://reliefweb.int/node/604892","Iraq"
"136","604738","Associate Director, Contracts & Compliance",2013-09-25,"http://reliefweb.int/node/604738","Iraq"
"137","604716","Program Officer I, TASAWI",2013-09-25,"http://reliefweb.int/node/604716","Iraq"
"138","604715","Program Manager I, TASAWI",2013-09-25,"http://reliefweb.int/node/604715","Iraq"
"139","604302","Project Manager",2013-09-24,"http://reliefweb.int/node/604302","Iraq"
"140","602763","Legal Education Development Advisor",2013-09-23,"http://reliefweb.int/node/602763","Iraq"
"141","603968","Baseline Survey, Follow-up and Learning Consultancy - Iraq",2013-09-23,"http://reliefweb.int/node/603968","Iraq"
"142","603964","EXPAT OCCUPATIONAL HEALTH DOCTOR",2013-09-23,"http://reliefweb.int/node/603964","Iraq"
"143","603963","EXPAT OCCUPATIONAL HEALTH DOCTOR",2013-09-23,"http://reliefweb.int/node/603963","Iraq"
"144","603962","EXPAT PARAMEDIC",2013-09-23,"http://reliefweb.int/node/603962","Iraq"
"145","603961","CHINESE REGISTERED PSYCHOLOGIST (English Speaking)",2013-09-23,"http://reliefweb.int/node/603961","Iraq"
"146","603958","EXPAT OCCUPATIONAL HEALTH NURSE",2013-09-23,"http://reliefweb.int/node/603958","Iraq"
"147","603957","EMERGENCY TRAINED IRAQI DOCTOR (English Speaking) X 4",2013-09-23,"http://reliefweb.int/node/603957","Iraq"
"148","603956","EMERGENCY TRAINED CHINESE DOCTOR (English Speaking )",2013-09-23,"http://reliefweb.int/node/603956","Iraq"
"149","603712","Handicap International is looking for : Consultant(s)For a Rapid Needs Assessment on the situation of Children, Youth and Adults with Disabilities",2013-09-20,"http://reliefweb.int/node/603712","Iraq"
"150","603026","2 WATER, SANITATION AND HYGIENE PROGRAM MANAGER  on Syrian refugies crisis – IRAK, Kurdistan – Erbil",2013-09-18,"http://reliefweb.int/node/603026","Iraq"
"151","602029","Head of Programmes – Iraq",2013-09-13,"http://reliefweb.int/node/602029","Iraq"
"152","601304","Child Protection Officer",2013-09-10,"http://reliefweb.int/node/601304","Iraq"
"153","601217","Deputy Country Director - Iraq",2013-09-10,"http://reliefweb.int/node/601217","Iraq"
"154","601105","Cash Assistance Project Manager - Iraq",2013-09-10,"http://reliefweb.int/node/601105","Iraq"
"155","600856","Consultancy: - Iraq",2013-09-09,"http://reliefweb.int/node/600856","Iraq"
"156","600401","Impact Assessor, Infrastructure Project Management Improvement, Iraq",2013-09-05,"http://reliefweb.int/node/600401","Iraq"
"157","600403","WASH Program Manager/Engineer- Iraq",2013-09-05,"http://reliefweb.int/node/600403","Iraq"
"158","600398","Enterprise Development and Training Consultant - Iraq",2013-09-05,"http://reliefweb.int/node/600398","Iraq"
"159","600396","AWAVE Small Grants Manager - Iraq",2013-09-05,"http://reliefweb.int/node/600396","Iraq"
"160","599288","Emergency Education Manager",2013-08-31,"http://reliefweb.int/node/599288","Iraq"
"161","599255","Program Director (Social Enterprise)",2013-08-30,"http://reliefweb.int/node/599255","Iraq"
"162","599001","WASH Coordinator",2013-08-29,"http://reliefweb.int/node/599001","Iraq"
"163","598998","Economic Recovery & Development Coordinator",2013-08-29,"http://reliefweb.int/node/598998","Iraq"
"164","598622","WASH Program Manager Iraq",2013-08-28,"http://reliefweb.int/node/598622","Iraq"
"165","598615","GIS Intern Iraq",2013-08-28,"http://reliefweb.int/node/598615","Iraq"
"166","598429","Community Policing Expert",2013-08-27,"http://reliefweb.int/node/598429","Iraq"
"167","598306","Business Development Services Training of Trainers Consultant - Iraq",2013-08-27,"http://reliefweb.int/node/598306","Iraq"
"168","598284","WASH Manager - Iraq",2013-08-27,"http://reliefweb.int/node/598284","Iraq"
"169","598282","Response Team Leader",2013-08-27,"http://reliefweb.int/node/598282","Iraq"
"170","598281","Emergency Child Protection Manager",2013-08-27,"http://reliefweb.int/node/598281","Iraq"
"171","598193","Decentralization Consultant, Tarabot, Iraq",2013-08-26,"http://reliefweb.int/node/598193","Iraq"
