"","data.list.id","title","date.created","url","country"
"34","633188","Water, Sanitation and Hygiene (WASH) Program Manager",2014-01-29,"http://reliefweb.int/node/633188","Philippines"
"35","633095","Senior Logistics Officer (Filipino nationals only)",2014-01-29,"http://reliefweb.int/node/633095","Philippines"
"36","632976","MULTIPLE LONG-TERM POSITIONS, URBAN GOVERNANCE AND LOCAL ECONOMIC GROWTH– PHILIPPINES SURGE, PHILIPPINES",2014-01-28,"http://reliefweb.int/node/632976","Philippines"
"37","632903","Philippines Programme Officer",2014-01-28,"http://reliefweb.int/node/632903","Philippines"
"38","632510","M&E Coordinator",2014-01-27,"http://reliefweb.int/node/632510","Philippines"
"39","632227","Emergency response: Supply Chain Coordinator",2014-01-25,"http://reliefweb.int/node/632227","Philippines"
"40","632225","Emergency response: Logistics Coordinator",2014-01-25,"http://reliefweb.int/node/632225","Philippines"
"41","632158","14-061: Emergency Psychosocial Officer- Philippines",2014-01-24,"http://reliefweb.int/node/632158","Philippines"
"42","631938","Deputy Country Director",2014-01-24,"http://reliefweb.int/node/631938","Philippines"
"43","631701","Deputy Country Director - Operations",2014-01-23,"http://reliefweb.int/node/631701","Philippines"
"44","631189","Human Resources and Administration Officer (Filipino nationals only)",2014-01-22,"http://reliefweb.int/node/631189","Philippines"
"45","631284","ASSISTANT / SECRETARY for the Information Management Unit (FILIPINOS ONLY)",2014-01-22,"http://reliefweb.int/node/631284","Philippines"
"46","631280","ASSISTANT for the Welcome Service Unit (FILIPINOS ONLY)",2014-01-22,"http://reliefweb.int/node/631280","Philippines"
"47","630964","Emergency/Post Emergency Programme Manager Philippines (Re-Advertisement)",2014-01-21,"http://reliefweb.int/node/630964","Philippines"
"48","630953","Emergency response: Philippines - MEAL Advisor",2014-01-21,"http://reliefweb.int/node/630953","Philippines"
"49","630620","Disaster Risk Management Specialist (Re-advertisement)",2014-01-20,"http://reliefweb.int/node/630620","Philippines"
"50","630646","Finance Manager (Filipino nationals only)",2014-01-20,"http://reliefweb.int/node/630646","Philippines"
"51","630344","Philippines Typhoon Recovery Project Manager",2014-01-17,"http://reliefweb.int/node/630344","Philippines"
"52","630373","Human Resources Manager, Philippines (1928)",2014-01-17,"http://reliefweb.int/node/630373","Philippines"
"53","630192","Operations Manager - Philippines (218933-927)",2014-01-17,"http://reliefweb.int/node/630192","Philippines"
"54","630077","Civil Engineer",2014-01-16,"http://reliefweb.int/node/630077","Philippines"
"55","630075","FOOD SECURITY & LIVELIHOODS",2014-01-16,"http://reliefweb.int/node/630075","Philippines"
"56","629892","Assistant Scientist - Market Research (PRS-2014-RP10072-AL)",2014-01-16,"http://reliefweb.int/node/629892","Philippines"
"57","630056","Lead Engineer - Philippines",2014-01-16,"http://reliefweb.int/node/630056","Philippines"
"58","630037","Security Incident Handler",2014-01-16,"http://reliefweb.int/node/630037","Philippines"
"59","629849","HRS Administrator - NRS Medical and Life Insurance Plan",2014-01-16,"http://reliefweb.int/node/629849","Philippines"
"60","630017","Inclusion Coordinator - Philippines - DAU - Handicap International",2014-01-16,"http://reliefweb.int/node/630017","Philippines"
"61","629613","Emergency response: Philippines - Infrastructure Manager",2014-01-15,"http://reliefweb.int/node/629613","Philippines"
